username, created_at, lng, lat, text
JKravitz15, Fri Jan 29 20:44:07 +0000 2021, -74.153947, 40.572376, YES YES YES 
JayBirdi3, Fri Jan 29 20:44:07 +0000 2021, -100.076888, 31.168893, The best lazy day fit https://t.co/7FwmgmiRVc 
MommyGearest, Fri Jan 29 20:44:07 +0000 2021, -78.636469, 43.866011, Been super emotional all day talking to destinations about 2022 travel. I knew I missed it, but the idea of actuall… https://t.co/vNLivSGUXp 
Jidgettewynn, Fri Jan 29 20:44:07 +0000 2021, -82.324702, 28.224502, @POTUS @FLOTUS  @VP @washingtonpost @CNN @HouseDemocrats @HouseGOP @SenateDems @SenateGOP @GOP  @GOPLeader… https://t.co/7Oh8QLUrXv 
tolgaguler_, Fri Jan 29 20:44:07 +0000 2021, -81.220009, 28.904590, #50m2 bence iyi olmuş! #NetflixTürkiye 
footiusmaximus, Fri Jan 29 20:44:07 +0000 2021, -104.922093, 39.713563, @ItsYourBoyDub @NoFrankOcean No doubt!! I must be getting soft in my old age, I don't hate him as much as I once did. 
DjcurtC, Fri Jan 29 20:44:07 +0000 2021, -86.585100, 36.307425, SEN. MANCHIN: Oh, I've always been moderate. I would- I would- I would encourage all Democrats to be moderate, find… https://t.co/aU9y9PzHJ2 
RWoodward12, Fri Jan 29 20:44:07 +0000 2021, -123.122401, 44.065621, @LWingetCards Awesome job, Dad! 
arealgogetta_, Fri Jan 29 20:44:07 +0000 2021, -121.690190, 37.994012, Frozen grapes are the best 
chiatiin, Fri Jan 29 20:44:08 +0000 2021, -99.152340, 19.328383, @CACHORRO63 Aaaa ok, con razón 
Robert_White14, Fri Jan 29 20:44:08 +0000 2021, -96.347781, 30.665858, It’s been a week already? Can’t wait to do it again. 🤘🏼 https://t.co/a3vmiR7aNn 
CoachEste, Fri Jan 29 20:44:08 +0000 2021, -77.229267, 38.697014, @MSUNZimmerman @HailStateSOC Touch is a little off there🤔... but glad things are getting “better” from the last vid… https://t.co/7irMdFrZHX 
mumeielfen, Fri Jan 29 20:44:08 +0000 2021, -86.142922, 39.779562, Biden’s Betrayal Over $2000 Checks is Going to Come Back to Bite Him https://t.co/eUjq77KG75 via @YouTube where’s t… https://t.co/3Q4goriXKG 
melissamarzw, Fri Jan 29 20:44:08 +0000 2021, -84.747640, 49.264364, @Manuelsm01 Cuál? 
willisstrk, Fri Jan 29 20:44:08 +0000 2021, -82.287725, 27.838539, @Janice84155943 @debra50384668 No it wasn’t staged. Do you go to that woman’s post Cori Bush tweet page? 
SimoneBonzanini, Fri Jan 29 20:44:08 +0000 2021, -87.920083, 41.172804, @Nmarru @ConteZero76 @worldernest @flaviotralbero Va bene ma continuo a chiedere: nel 2021 è proprio necessario con… https://t.co/YxCON5TXhs 
Eddiemendoza7, Fri Jan 29 20:44:08 +0000 2021, -100.365274, 25.807314, La Mamá de Salcedo Orgullosa después del Gol de su Hijo 👏🏻👏🏻👏🏻@TigresOficial https://t.co/LsR2bKmMLR 
Donovan_Ross, Fri Jan 29 20:44:09 +0000 2021, -122.324229, 48.470392, @phoenixslay3r @LunitaPodcast @WSBChairman Hold the line, there has to be a last minute attack coming!🇺🇸💪🚀#amc 
marthabeatrizl, Fri Jan 29 20:44:09 +0000 2021, -99.017017, 19.432722, #EconomiaFamiliarEdomex hay que seguir cuidandonos 
Varnerism, Fri Jan 29 20:44:09 +0000 2021, -86.680738, 32.576227, @DearAuntCrabby @marcorubio Middle Marco! 
BbrtrandBrian, Fri Jan 29 20:44:09 +0000 2021, -91.401008, 30.937336, https://t.co/sMOo7NOjA8 
dopee__dee, Fri Jan 29 20:44:09 +0000 2021, -83.725610, 42.994459, How do y’all skate backwards 😫 
CrispyPaid465, Fri Jan 29 20:44:09 +0000 2021, -83.947162, 39.690213, Wanna go out for food and drinks tf everybody at ? 
srauer20, Fri Jan 29 20:44:09 +0000 2021, -74.946407, 40.102243, Too bad he got out of there alive 
victorm83252129, Fri Jan 29 20:44:09 +0000 2021, -99.087817, 19.432075, @MuySuFrida #MexicoDespierta 
tasha_slayss, Fri Jan 29 20:44:09 +0000 2021, -74.153947, 40.572376, Them niggas ode annoying bro 🤮 
LLGM5, Fri Jan 29 20:44:09 +0000 2021, -72.680966, 41.765617, I’m tired of seeing the word “RIP” 😔MORE LIFE 
travisclones, Fri Jan 29 20:44:09 +0000 2021, -96.053431, 41.275721, @MarkNel1026 I work with housing agencies actually so I understand the concerns you’re probably bringing up. Wide-r… https://t.co/Pke6vlKife 
ZacNutter53, Fri Jan 29 20:44:09 +0000 2021, -85.170051, 41.086917, Yesterday was bad timing for me too give the gram up 
camillecowin, Fri Jan 29 20:44:09 +0000 2021, -95.446486, 29.838495, Friday crew shoots. 🙌 https://t.co/EsICLrJdgv 
M_Coop24, Fri Jan 29 20:44:09 +0000 2021, -96.123382, 32.328430, Smokin’ a small pork roast w/@MeatChurch Honey Hog and Holy Gospel rub. #bbqlife #foodie #BBQ #ETX https://t.co/oUGePL41or 
